Metric,Edge case,Supported,Behavior,Deterministic,Intentional exception,Notes
NSE,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
NSE,single observation,FALSE,error: Metric 'nse' must return a non-missing numeric scalar.,TRUE,TRUE,
NSE,identical series,TRUE,ok: 1,TRUE,FALSE,
NSE,all-zero observation / simulation,FALSE,error: Metric 'nse' must return a non-missing numeric scalar.,TRUE,TRUE,
NSE,negative values,TRUE,ok: 0.785714,TRUE,FALSE,
NSE,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
NSE,indexed inputs,TRUE,ok: 0.916,TRUE,FALSE,
NSE,pairwise NA removal behavior,TRUE,ok: 1,TRUE,FALSE,
KGE,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
KGE,single observation,FALSE,error: missing value where TRUE/FALSE needed,TRUE,TRUE,
KGE,identical series,TRUE,ok: 1,TRUE,FALSE,
KGE,all-zero observation / simulation,FALSE,error: KGE undefined because sd(obs) == 0.,TRUE,TRUE,
KGE,negative values,TRUE,ok: 0.625838,TRUE,FALSE,
KGE,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
KGE,indexed inputs,TRUE,ok: 0.865946,TRUE,FALSE,
KGE,pairwise NA removal behavior,TRUE,ok: 1,TRUE,FALSE,
MAE,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
MAE,single observation,TRUE,ok: 0,TRUE,FALSE,
MAE,identical series,TRUE,ok: 0,TRUE,FALSE,
MAE,all-zero observation / simulation,TRUE,ok: 0,TRUE,FALSE,
MAE,negative values,TRUE,ok: 0.333333,TRUE,FALSE,
MAE,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
MAE,indexed inputs,TRUE,ok: 3,TRUE,FALSE,
MAE,pairwise NA removal behavior,TRUE,ok: 0,TRUE,FALSE,
RMSE,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
RMSE,single observation,TRUE,ok: 0,TRUE,FALSE,
RMSE,identical series,TRUE,ok: 0,TRUE,FALSE,
RMSE,all-zero observation / simulation,TRUE,ok: 0,TRUE,FALSE,
RMSE,negative values,TRUE,ok: 0.57735,TRUE,FALSE,
RMSE,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
RMSE,indexed inputs,TRUE,ok: 3.24037,TRUE,FALSE,
RMSE,pairwise NA removal behavior,TRUE,ok: 0,TRUE,FALSE,
PBIAS,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
PBIAS,single observation,TRUE,ok: 0,TRUE,FALSE,
PBIAS,identical series,TRUE,ok: 0,TRUE,FALSE,
PBIAS,all-zero observation / simulation,FALSE,error: sum(obs) is zero; PBIAS undefined,TRUE,TRUE,
PBIAS,negative values,TRUE,ok: -14.2857,TRUE,FALSE,
PBIAS,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
PBIAS,indexed inputs,TRUE,ok: -2,TRUE,FALSE,
PBIAS,pairwise NA removal behavior,TRUE,ok: 0,TRUE,FALSE,
R2,all NA,FALSE,error: Missing values found; use `na_strategy = 'remove'` to drop NA pairs.,TRUE,TRUE,
R2,single observation,FALSE,error: R2 is undefined for constant series.,TRUE,TRUE,
R2,identical series,TRUE,ok: 1,TRUE,FALSE,
R2,all-zero observation / simulation,FALSE,error: R2 is undefined for constant series.,TRUE,TRUE,
R2,negative values,TRUE,ok: 0.964286,TRUE,FALSE,
R2,mismatch in lengths,FALSE,error: `sim` and `obs` must have the same length.,TRUE,TRUE,
