"function_name","exported","namespace_present","clean_session_usable","signature","defaults","return_type","warning_behavior","na_rm_behavior","notes"
"NSE",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"KGE",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"RMSE",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"MAE",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"PBIAS",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"R2",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"NRMSE",FALSE,FALSE,FALSE,,,,"not_checked","no na.rm argument","object absent from namespace"
"gof",TRUE,TRUE,TRUE,"sim, obs, fun, methods, ...","sim=; obs=; fun=NULL; methods=NULL; ...=","numeric","not_checked","no na.rm argument","exported from package namespace; runtime check succeeded"
"ggof",TRUE,TRUE,TRUE,"sim, obs, methods, fun, ...","sim=; obs=; methods=NULL; fun=NULL; ...=","ggplot2::ggplot, ggplot, ggplot2::gg, S7_object, gg","not_checked","no na.rm argument","exported from package namespace; runtime check succeeded"
"preproc",FALSE,TRUE,FALSE,"sim, obs, na.rm, keep, as, drop, ...","sim=; obs=; na.rm=TRUE; keep=c(""complete"", ""pairwise""); as=""numeric""; drop=TRUE; ...=",,"not_checked","has na.rm (default=TRUE)","present in namespace but not exported"
"valindex",FALSE,TRUE,FALSE,"sim, obs, metrics, weights, na.rm, ...","sim=; obs=; metrics=c(""NSE"", ""KGE"", ""rmse"", ""pbias"", ""rPearson""); weights=NULL; na.rm=TRUE; ...=",,"not_checked","has na.rm (default=TRUE)","present in namespace but not exported"
